Drill Listing
=============
Drill: .01181  Tool: 1  Feed: 95  Speed: 300
X 122165  Y 111535
X 149881  Y 108779
X 163031  Y 108779
X 176220  Y 108740
X 214606  Y 111141
X 220354  Y 115433
X 220629  Y 106220
X 227165  Y 123661
X 229527  Y 111102
X 229803  Y 116141
X 229881  Y 106181
X 249055  Y 112007
X 249173  Y 108661
X 254527  Y 110984
X 259527  Y 130157
X 259921  Y 123937
X 269291  Y 114409
X 269370  Y 117480
X 273228  Y 114133
X 273307  Y 117519
X 282677  Y 119527
X 282874  Y 126535
X 289094  Y 126968
X 289133  Y 124448
X 289616  Y 154394
X 288937  Y 139448
X 287459  Y 154391
X 279133  Y 140944
X 276456  Y 153661
X 276456  Y 146889
X 271732  Y 138110
X 271732  Y 140511
X 255869  Y 150938
X 255869  Y 153986
X 247446  Y 150772
X 247446  Y 154152
X 238414  Y 154152
X 238359  Y 150661
X 213425  Y 138031
X 197677  Y 154724
X 185984  Y 132716
X 183759  Y 144787
X 180984  Y 132755
X 178464  Y 142952
X 178425  Y 145314
X 175984  Y 132637
X 161259  Y 134330
X 158622  Y 139803
X 158582  Y 149724
X 158543  Y 144763
X 155866  Y 134330
X 152362  Y 134251
X 148070  Y 139842
X 148070  Y 149094
X 148031  Y 144763
X 111141  Y 168070
X 111259  Y 164803
X 111299  Y 162322
X 114960  Y 168070
X 115118  Y 164921
X 115236  Y 162086
X 119133  Y 168070
X 119251  Y 164921
X 140748  Y 177322
X 155000  Y 157677
X 235787  Y 161850
X 245669  Y 161850
X 251259  Y 181062
X 258346  Y 169803
X 275472  Y 170984
X 277419  Y 164287
X 282834  Y 159881
X 285196  Y 167874
X 287459  Y 156453
X 288936  Y 176987
X 289616  Y 156462
X 293288  Y 164316
X 294606  Y 199488
X 288937  Y 186929
X 288740  Y 193228
X 283385  Y 188740
X 283037  Y 200422
X 281299  Y 181220
X 268385  Y 191850
X 267204  Y 182519
X 265472  Y 187755
X 264733  Y 200360
X 245669  Y 183425
X 240669  Y 182795
X 215826  Y 199488
X 205433  Y 185157
X 188417  Y 198437
X 188381  Y 196213
X 186272  Y 196125
X 186249  Y 198418
X 184091  Y 198418
X 184046  Y 196147
X 181614  Y 188543
X 181535  Y 184685
X 177913  Y 203543
X 171968  Y 184685
X 171968  Y 188543
X 170000  Y 203543
X 168503  Y 184685
X 168464  Y 188543
X 162125  Y 205039
X 161692  Y 191811
X 147637  Y 225039
X 147834  Y 229527
X 149763  Y 218976
X 153622  Y 227480
X 154094  Y 217244
X 156850  Y 217165
X 159409  Y 218976
X 161181  Y 230748
X 171929  Y 227480
X 171968  Y 219055
X 175314  Y 231023
X 177204  Y 215984
X 178070  Y 221456
X 181023  Y 224685
X 186614  Y 210433
X 191968  Y 224566
X 192598  Y 221181
X 194173  Y 218503
X 194370  Y 227519
X 194370  Y 230590
X 201023  Y 217244
X 202043  Y 208475
X 202047  Y 210669
X 202079  Y 206258
X 202598  Y 229251
X 203070  Y 219094
X 203070  Y 222834
X 204645  Y 210590
X 204696  Y 208439
X 204696  Y 206222
X 212755  Y 221929
X 212755  Y 225866
X 212795  Y 230196
X 216850  Y 230157
X 216889  Y 222007
X 216889  Y 225944
X 219803  Y 213464
X 220905  Y 225984
X 220944  Y 230275
X 220944  Y 222047
X 230354  Y 227204
X 230393  Y 220944
X 230787  Y 224094
X 238937  Y 227007
X 244724  Y 222165
X 250826  Y 212047
X 250866  Y 230511
X 254330  Y 222047
X 256417  Y 212440
X 265433  Y 213897
X 265984  Y 223700
X 269212  Y 228661
X 274291  Y 225000
X 279173  Y 227086
X 279251  Y 208228
X 284251  Y 225000
X 289842  Y 228661
X 290511  Y 209409
X 288307  Y 238661
X 287125  Y 252755
X 284212  Y 241771
X 269330  Y 244527
X 269212  Y 240393
X 263464  Y 252874
X 257047  Y 233228
X 245275  Y 243779
X 232047  Y 245787
X 231732  Y 237362
X 226100  Y 236100
X 219803  Y 238976
X 211929  Y 240472
X 209055  Y 242755
X 206811  Y 240511
X 205275  Y 235314
X 203188  Y 232204
X 193425  Y 238858
X 180590  Y 243267
X 180511  Y 235000
X 179212  Y 246614
X 177952  Y 241377
X 177519  Y 237795
X 173976  Y 251732
X 171220  Y 239094
X 169291  Y 246653
X 164133  Y 241102
X 161181  Y 235393
X 158031  Y 235472
X 157401  Y 246653
X 157401  Y 243858
X 153661  Y 243543
X 152322  Y 251181
X 150708  Y 233582
X 148365  Y 251089
X 147637  Y 241456
X 147637  Y 233779
X 133582  Y 264881
X 133937  Y 261220
X 150314  Y 262440
X 157992  Y 265669
X 164724  Y 265905
X 172047  Y 266181
X 175866  Y 266259
X 178622  Y 266220
X 188622  Y 268622
X 193700  Y 257204
X 194212  Y 268464
X 202598  Y 263779
X 205354  Y 260866
X 208228  Y 278622
X 212755  Y 280078
X 233070  Y 263858
X 241850  Y 272559
X 265472  Y 256496
X 267362  Y 263661
X 267834  Y 280511
X 272795  Y 263503
X 277795  Y 280472
X 282795  Y 263503
X 282834  Y 280629
X 289145  Y 267075
X 289803  Y 272834
X 266075  Y 295911
X 259921  Y 288622
X 252480  Y 281417
X 241299  Y 303740
X 239055  Y 282598
X 236220  Y 296968
X 235354  Y 288070
X 223543  Y 287795
X 218307  Y 290157
X 217125  Y 302795
X 204133  Y 282913
X 197874  Y 287362
X 194881  Y 305787
X 192283  Y 283582
X 191968  Y 289173
X 168543  Y 283661
X 159724  Y 304606
X 154724  Y 296771
X 144330  Y 292677
X 139881  Y 289094
X 134330  Y 289015
X 124330  Y 301850
X 126220  Y 329606
X 130157  Y 329645
X 134094  Y 329685
X 136023  Y 309763
X 137992  Y 329724
X 148779  Y 329330
X 163661  Y 329330
X 199960  Y 321929
X 206850  Y 322007
X 226062  Y 326377
X 236417  Y 326220
X 247952  Y 327677
X 265000  Y 311023
X 266968  Y 330433
X 270944  Y 330433
X 274881  Y 330433
X 278779  Y 330433
X 282716  Y 322244
Drill: .02559  Tool: 2  Feed: 197  Speed: 550
X 107771  Y 141118
X 107771  Y 164740
X 139267  Y 164740
X 139267  Y 141118
Drill: .032  Tool: 3  Feed: 197  Speed: 550
X 106320  Y 204081
X 106320  Y 224081
X 106320  Y 214081
X 106320  Y 234081
X 106204  Y 256058
X 106204  Y 246058
X 106204  Y 276058
X 106204  Y 266058
End of Listing
