Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 134488  Y 110472
X 123031  Y 115787
X 127992  Y 116574
X 113228  Y 141181
X 134055  Y 141259
X 131771  Y 151574
X 134173  Y 151614
X 134055  Y 154370
X 131653  Y 154370
X 148267  Y 175236
X 140354  Y 173425
X 140314  Y 169960
X 140393  Y 166771
X 140629  Y 161062
X 150433  Y 154330
X 147834  Y 134803
X 150866  Y 117795
X 147244  Y 110393
X 159921  Y 110393
X 166732  Y 114055
X 165551  Y 156535
X 168307  Y 167795
End of Listing
