Drill Listing
=============
Drill: .01181  Tool: 1  Feed: 95  Speed: 300
X 69724  Y 52677
X 80393  Y 52755
X 61141  Y 55984
X 80787  Y 63070
X 60984  Y 67795
X 61259  Y 79370
X 60669  Y 88897
X 65669  Y 91496
X 60787  Y 100000
X 75629  Y 101732
X 65669  Y 102440
X 84724  Y 112086
X 61141  Y 115118
X 82913  Y 124488
X 61338  Y 127637
X 68779  Y 135275
X 61181  Y 137834
X 69960  Y 143149
X 79133  Y 143267
X 97047  Y 144251
X 93110  Y 144251
X 104921  Y 144251
X 100984  Y 144251
X 108858  Y 144251
X 102952  Y 125787
X 100629  Y 122519
X 108031  Y 112401
X 88543  Y 52874
X 100314  Y 52755
X 118267  Y 53110
X 111377  Y 53110
X 125944  Y 53228
X 132716  Y 56338
X 132637  Y 67322
X 132716  Y 79370
X 132834  Y 88582
X 132716  Y 100118
X 132716  Y 108031
X 132598  Y 116299
X 119842  Y 118070
X 132519  Y 127598
X 132598  Y 139133
X 120314  Y 143503
X 127086  Y 143622
Drill: .03937  Tool: 2  Feed: 197  Speed: 550
X 100000  Y 95000
X 105000  Y 100000
X 95000  Y 100000
X 100000  Y 105000
End of Listing
