Drill Listing
=============
Drill: .01378  Tool: 1  Feed: 95  Speed: 300
X 103122  Y 105175
X 107947  Y 105270
X 112772  Y 105364
X 117597  Y 105459
X 103068  Y 112441
X 107947  Y 112460
X 112826  Y 112478
X 117706  Y 112496
X 119921  Y 118346
X 124569  Y 118611
X 122283  Y 122283
X 102016  Y 130157
X 125690  Y 130168
X 120064  Y 130197
X 131315  Y 130138
X 136941  Y 130109
X 142566  Y 130079
X 148192  Y 130050
X 134723  Y 124217
X 137610  Y 124126
X 130393  Y 120472
X 140338  Y 105393
X 133936  Y 105338
X 155275  Y 105314
X 164881  Y 107677
X 154881  Y 110157
X 157795  Y 124094
X 153818  Y 130020
X 200606  Y 130769
X 199212  Y 125866
X 197952  Y 121220
X 178228  Y 104724
X 207440  Y 106023
X 210849  Y 115657
X 225849  Y 125702
X 203700  Y 127677
X 210669  Y 128149
X 223922  Y 129217
X 206929  Y 130984
X 247086  Y 131181
X 229015  Y 130944
X 251771  Y 130826
X 251022  Y 127510
X 246739  Y 127493
X 250843  Y 122777
X 230848  Y 115272
X 235419  Y 115195
X 230772  Y 110340
X 235419  Y 110315
X 235708  Y 104409
X 243514  Y 102458
X 255021  Y 102523
X 254960  Y 120314
X 255304  Y 127528

End of Listing
